ttl	ip             	rtt (ms)
1	10.0.2.2	0.672730
6	200.89.161.149	17.053374
7	200.89.165.130	0.000000
8	200.89.165.222	1.996175
9	185.70.203.32	0.000000
10	89.221.41.181	132.068054
11	89.221.41.181	2.382882
12	154.54.9.17	11.118905
13	154.54.80.41	0.000000
14	66.28.4.237	14.763109
15	154.54.29.222	7.872963
16	154.54.42.77	0.831040
17	154.54.45.162	2.006372
18	154.54.45.2	0.000000
19	38.88.196.186	0.815241
20	101.4.117.169	147.027389
21	101.4.117.97	4.108167
22	101.4.117.50	0.000000
23	101.4.115.69	0.000000
24	101.4.118.94	1.594142
25	101.4.112.90	1.955545
26	101.4.117.81	0.000000
27	202.112.41.178	0.000000
28	202.112.41.182	0.096631
29	162.105.252.133	0.000000
