ttl	ip             	rtt (ms)
1	10.0.2.2	0.657272
6	200.89.161.149	19.348486
7	200.89.165.130	0.000000
8	200.89.165.222	3.204878
9	185.70.203.32	0.000000
10	89.221.41.161	124.705398
11	89.221.41.181	5.070433
12	154.54.9.17	16.010852
13	154.54.80.41	0.000000
14	66.28.4.237	13.035107
15	154.54.29.222	10.031708
16	154.54.42.77	0.270486
17	154.54.45.162	0.000000
18	154.54.45.2	0.627263
19	38.88.196.186	0.361204
20	101.4.117.169	147.085365
21	101.4.117.97	5.199051
22	101.4.117.50	0.000000
23	101.4.115.69	0.000000
24	101.4.118.94	5.741249
25	101.4.112.90	0.000000
26	101.4.117.81	0.000000
27	202.112.41.178	0.000000
28	202.112.41.182	0.671260
29	162.105.252.133	0.000000
