ttl	ip             	rtt (ms)
1	10.0.2.2	0.506425
6	200.89.161.149	19.327641
7	200.89.165.130	0.000000
8	200.89.165.222	0.824237
9	185.70.203.32	0.000000
10	89.221.41.161	125.759244
11	89.221.41.181	3.592730
12	154.54.9.17	15.693776
13	154.54.80.41	2.764098
14	66.28.4.237	17.799640
15	154.54.29.222	16.388885
16	154.54.42.77	2.080917
17	154.54.45.162	0.000000
18	154.54.45.2	2.348987
19	38.88.196.186	1.624656
20	101.4.117.169	145.580133
21	101.4.117.97	3.937459
22	101.4.117.50	0.000000
23	101.4.115.69	0.000000
24	101.4.118.94	1.551046
25	101.4.112.90	0.000000
26	101.4.117.81	0.071454
27	202.112.41.178	0.000000
28	202.112.41.182	0.000000
29	162.105.252.133	0.000000
