ttl	ip             	rtt (ms)
1	10.0.2.2	0.562978
6	200.89.161.129	18.428071
7	200.89.165.5	0.000000
8	200.89.165.250	0.000000
9	195.22.220.102	0.000000
10	89.221.41.187	131.073781
11	89.221.41.171	0.000000
12	154.54.9.17	20.431336
13	154.54.80.41	0.000000
14	154.54.24.193	0.000000
15	154.54.7.157	10.204490
16	154.54.40.105	0.000000
17	154.54.30.186	68.055932
18	154.54.58.174	2.091845
19	154.54.56.242	0.000000
20	149.14.80.210	3.052402
21	196.32.209.174	174.379476
22	155.232.6.65	3.461035
23	155.232.6.37	0.115403
24	155.232.6.33	6.861830
25	155.232.6.142	0.000000
26	155.232.6.145	21.579893
27	155.232.6.138	0.000000
