ttl	ip             	rtt (ms)
1	10.0.2.2	0.608214
6	200.89.161.129	18.101072
7	200.89.165.5	0.000000
8	200.89.165.250	0.000000
9	195.22.220.102	0.000000
10	89.221.41.187	132.118686
11	89.221.41.187	0.000000
12	154.54.9.17	15.574225
13	154.54.80.41	1.060232
14	154.54.24.193	0.000000
15	154.54.7.157	10.600082
16	154.54.40.105	1.537585
17	154.54.30.186	67.677100
18	154.54.58.174	0.000000
19	154.54.56.242	0.000000
20	149.14.80.210	4.261446
21	196.32.209.174	173.248156
22	155.232.6.65	3.049302
23	155.232.6.37	1.253176
24	155.232.6.33	1.961565
25	155.232.6.142	0.000000
26	155.232.6.145	21.782700
27	155.232.6.138	0.000000
