ttl	ip             	rtt (ms)
1	192.168.0.1	3.886035
6	200.89.161.137	22.721108
7	200.89.165.5	0.000000
8	200.89.165.250	0.000000
9	190.216.88.33	0.000000
10	204.246.244.86	145.984894
12	64.125.13.29	14.046516
13	64.125.31.245	0.000000
14	64.125.30.252	64.694357
15	64.125.29.213	0.000000
16	64.125.29.216	0.000000
17	64.125.31.11	24.725358
18	64.125.30.187	24.998021
19	64.125.30.75	0.000000
20	64.124.200.234	41.692069
21	202.158.194.172	116.141264
22	182.255.119.139	1.428874
23	210.7.39.251	13.910627
24	210.7.39.178	0.000000
