ttl	ip             	rtt (ms)
1	192.168.0.1	7.182033
6	200.89.161.129	19.272797
7	200.89.165.130	0.000000
8	200.89.165.222	0.000000
9	195.22.220.102	0.000000
10	89.221.41.181	129.470642
11	89.221.41.181	4.998414
12	154.54.9.17	5.880626
13	154.54.24.233	0.000000
14	154.54.24.197	20.254485
15	154.54.24.221	0.000000
16	154.54.40.109	8.824809
17	154.54.42.86	85.420299
18	154.54.58.186	0.000000
19	154.54.56.238	9.796190
20	149.14.80.210	0.000000
21	196.32.209.174	175.431116
22	155.232.6.65	19.223428
23	155.232.6.37	0.000000
24	155.232.6.33	8.373539
25	155.232.6.142	0.000000
26	155.232.6.145	26.887170
27	155.232.6.130	0.000000
