ttl	ip             	rtt (ms)
1	192.168.0.1	25.547598
6	200.89.161.137	5.937435
7	200.89.165.130	0.000000
8	200.89.165.222	18.307948
9	185.70.203.32	0.000000
10	89.221.41.161	148.131029
11	89.221.41.161	0.000000
12	154.54.9.17	0.000000
13	154.54.24.233	0.000000
14	154.54.24.197	26.311294
15	154.54.24.221	2.669485
16	154.54.40.109	35.054096
17	154.54.42.86	129.451974
18	154.54.57.162	0.000000
19	154.54.56.242	0.000000
20	149.14.80.210	9.667579
21	196.32.209.174	170.028003
22	155.232.6.65	4.332964
23	155.232.6.190	0.000000
24	155.232.6.233	8.532096
25	155.232.15.138	0.000000
26	155.232.29.2	15.893165
27	155.232.6.130	0.000000
